income,1,2,3,4,5,6,7,8,9
23250,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low
26600,Very Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low
29900,Very Low,Very Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low
33200,Very Low,Very Low,Very Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low
35900,Very Low,Very Low,Very Low,Very Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low
38550,Very Low,Very Low,Very Low,Very Low,Very Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low
38750,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Extremely Low,Extremely Low,Extremely Low
41200,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Extremely Low,Extremely Low,Extremely Low
43850,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Extremely Low,Extremely Low
44300,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Extremely Low
46500,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Extremely Low
49850,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
55350,Low,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
59800,Low,Low,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low
61800,Low,Low,Low,Low,Low,Very Low,Very Low,Very Low,Very Low
64250,Not Low,Low,Low,Low,Low,Very Low,Very Low,Very Low,Very Low
68650,Not Low,Low,Low,Low,Low,Low,Very Low,Very Low,Very Low
70600,Not Low,Low,Low,Low,Low,Low,Low,Very Low,Very Low
73100,Not Low,Not Low,Low,Low,Low,Low,Low,Very Low,Very Low
77500,Not Low,Not Low,Low,Low,Low,Low,Low,Low,Very Low
79450,Not Low,Not Low,Low,Low,Low,Low,Low,Low,Low
88250,Not Low,Not Low,Not Low,Low,Low,Low,Low,Low,Low
95350,Not Low,Not Low,Not Low,Not Low,Low,Low,Low,Low,Low
102400,Not Low,Not Low,Not Low,Not Low,Not Low,Low,Low,Low,Low
109450,Not Low,Not Low,Not Low,Not Low,Not Low,Not Low,Low,Low,Low
116500,Not Low,Not Low,Not Low,Not Low,Not Low,Not Low,Not Low,Low,Low
123550,Not Low,Not Low,Not Low,Not Low,Not Low,Not Low,Not Low,Not Low,Low
